,precision,recall,f1-score,support
0,0.478,0.7823240589198036,0.5934202358783365,611.0
1,0.875,0.45219638242894056,0.5962521294718909,1935.0
2,0.231,0.2783132530120482,0.25245901639344265,830.0
3,0.064,0.7191011235955056,0.1175390266299357,89.0
4,0.0,0.0,0.0,3.0
5,0.572,0.7922437673130194,0.6643437862950057,722.0
6,0.734,0.16693199909028883,0.2720029646099685,4397.0
7,0.883,0.6275764036958067,0.7336933942667222,1407.0
8,0.004,0.6666666666666666,0.007952286282306164,6.0
9,0.0,0.0,0.0,0.0
accuracy,0.3841,0.3841,0.3841,0.3841
macro avg,0.3841,0.448535365472208,0.3237662839827608,10000.0
weighted avg,0.7065396000000002,0.3841,0.4444337160172392,10000.0
